datetime,actual,mean,naive,drift,seasonal_naive,sarima,feature_model
2019-10-06,52.33063095238096,55.65054511874547,54.287059523809525,56.15834848760933,54.287059523809525,55.91193729654108,54.57304263920245
2019-10-13,55.80170833333334,55.65054511874547,54.287059523809525,56.19433481383625,56.33339880952381,58.68358749123824,56.04896586068414
2019-10-20,56.13279166666666,55.65054511874547,54.287059523809525,56.23032114006317,56.55730952380953,58.644919340247846,56.35784063150563
2019-10-27,56.484410714285715,55.65054511874547,54.287059523809525,56.26630746629009,57.687714285714286,58.86694167521325,56.41091769000948
2019-11-03,55.029630952380955,55.65054511874547,54.287059523809525,56.302293792517005,53.707708333333336,57.671576999669135,56.89019661620822
2019-11-10,58.15936309523809,55.65054511874547,54.287059523809525,56.338280118743924,59.21035714285715,61.47592461506201,57.07129066347156
2019-11-17,59.11223809523809,55.65054511874547,54.287059523809525,56.37426644497084,59.97938095238096,62.13745937558554,59.99452176116232
2019-11-24,59.73594047619047,55.65054511874547,54.287059523809525,56.41025277119776,60.69883333333333,62.61547938721101,60.26606524468492
2019-12-01,59.84283333333334,55.65054511874547,54.287059523809525,56.44623909742468,61.95860119047619,63.35372132126196,60.34098565684838
2019-12-08,61.05929761904762,55.65054511874547,54.287059523809525,56.482225423651606,63.12195833333334,63.820995914148,60.450469178584136
2019-12-15,61.24219047619047,55.65054511874547,54.287059523809525,56.518211749878525,62.71340476190476,62.69054100682437,61.007895140980665
2019-12-22,56.83676785714285,55.65054511874547,54.287059523809525,56.55419807610544,57.949869047619046,56.55262889723672,57.57454399762927
2019-12-29,46.50530952380953,55.65054511874547,54.287059523809525,56.59018440233236,48.223803571428576,50.53314080965903,48.61307134345092
2020-01-05,50.161702380952384,55.65054511874547,54.287059523809525,56.62617072855928,54.85843452380953,59.19104387135301,49.565371369649945
2020-01-12,59.077595238095235,55.65054511874547,54.287059523809525,56.6621570547862,60.05204761904762,62.55180007046414,57.901479465002744
2020-01-19,60.36169642857143,55.65054511874547,54.287059523809525,56.69814338101312,61.868267857142854,63.73245126955222,58.70640106265759
2020-01-26,60.89373214285715,55.65054511874547,54.287059523809525,56.73412970724004,60.128232142857144,62.87710953481048,59.57351262421458
2020-02-02,60.83919642857143,55.65054511874547,54.287059523809525,56.770116033466955,60.81609523809524,62.79794747604083,59.14551297844366
